Order Date,Requested Delivery Date,Customer Country Code,Product Code,Description,Order type,Customer Order Code,Value,Currency,Items,Route
31.10.2009,05.12.2010,DE,P7761,Parka C,VO,ORD798642,490.08,RUB,28,R21
26.11.2009,04.04.2009,ES,P1311,Parka C,VO,ORD267195,368.87,EUR,34,R24
28.11.2011,26.09.2010,CN,P1310,Parka A,VO,ORD943883,283.5,RUB,29,R77
09.08.2011,28.03.2009,FR,P8761,Parka B,VO,ORD951649,343.48,RUB,38,R97
02.04.2011,24.03.2010,DE,P5060,Parka A,VO,ORD126051,371.26,USD,39,R39
26.02.2009,15.01.2010,DE,P3202,Parka D,VO,ORD200471,343.52,USD,48,R50
03.07.2011,18.07.2009,FR,P5696,Parka B,VO,ORD443568,271.83,EUR,29,R7
27.10.2011,25.08.2011,US,P7032,Parka B,VO,ORD512685,304.95,EUR,39,R1
19.05.2009,26.03.2011,CN,P9390,Parka C,VO,ORD786078,277.8,EUR,38,R99
25.06.2011,25.04.2010,RU,P4732,Parka C,VO,ORD989408,197.28,EUR,6,R96
20.08.2010,24.03.2010,FR,P7362,Parka A,VO,ORD542634,188.47,USD,2,R90
24.06.2009,11.04.2010,IT,P1064,Parka B,VO,ORD739048,370.26,USD,5,R33
15.12.2009,12.02.2012,ES,P8353,Parka B,VO,ORD798989,315.74,EUR,47,R74
15.06.2011,17.07.2011,IT,P7359,Parka A,VO,ORD526520,137.6,USD,16,R42
30.05.2011,20.09.2009,IT,P3247,Parka C,VO,ORD151868,180.15,RUB,6,R58
31.03.2011,27.10.2011,UK,P3943,Parka A,VO,ORD296762,419.03,USD,44,R98
06.06.2010,24.08.2011,ES,P8693,Parka C,VO,ORD283312,371.04,USD,34,R54
13.06.2009,10.09.2010,RU,P3855,Parka B,VO,ORD773066,119.16,USD,9,R91
06.08.2011,02.06.2009,IT,P2523,Parka B,VO,ORD922795,474.19,RUB,34,R48
14.01.2011,19.08.2010,US,P9128,Parka D,VO,ORD120250,331.45,EUR,32,R81
26.07.2010,10.10.2010,FR,P8120,Parka A,VO,ORD257977,292.36,RUB,40,R50
16.07.2011,18.07.2009,FR,P5095,Parka C,VO,ORD378288,67.35,EUR,18,R9
28.12.2009,13.03.2012,US,P2245,Parka A,VO,ORD700856,218.2,USD,43,R15
04.04.2011,27.08.2011,UK,P9178,Parka C,VO,ORD223531,229.45,RUB,20,R76
02.05.2010,01.04.2012,US,P9014,Parka C,VO,ORD837622,261.03,USD,4,R85
31.08.2009,01.06.2009,US,P3417,Parka C,VO,ORD227548,125.66,RUB,50,R66
