Month,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
Dec,VW,Rural,Thursday,Dec,5,Male,Divorced,61,Third Party,Utility - All Perils,Sedan,30000 to 39000,39602,5,700,2,8 to 15,15 to 30,1,5 years,21 to 25,No,Yes,Internal,none,2 to 3 years,3 to 4,All Perils
Mar,Chevrolet,Rural,Tuesday,Jun,4,Male,Widow,31,Third Party,Sport - All Perils,Sport,30000 to 39000,81189,2,300,2,1 to 7,more than 30,none,new,36 to 40,No,No,Internal,3 to 5,2 to 3 years,3 to 4,Liability
May,Porche,Urban,0,Apr,1,Female,Single,35,Third Party,Utility - All Perils,Sedan,less than 20000,14113,2,400,3,more than 30,15 to 30,2 to 4,4 years,36 to 40,Yes,No,External,none,under 6 months,more than 8,All Perils
Mar,Saturn,Urban,Friday,Jul,2,Male,Single,58,Policy Holder,Sport - Collision,Utility,40000 to 59000,76451,6,300,1,more than 30,15 to 30,2 to 4,2 years,18 to 20,No,No,Internal,more than 5,4 to 8 years,more than 8,Liability
Jun,Mecedes,Rural,Monday,Jul,4,Female,Widow,27,Policy Holder,Sport - Liability,Utility,60000 to 69000,85302,6,500,1,more than 30,15 to 30,2 to 4,new,36 to 40,Yes,Yes,External,1 to 2,4 to 8 years,1 vehicle,Liability
Jul,Saab,Urban,Sunday,Jul,1,Male,Married,38,Policy Holder,Utility - All Perils,Utility,more than 69000,54396,7,400,4,more than 30,more than 30,1,4 years,18 to 20,Yes,No,External,1 to 2,4 to 8 years,2 vehicles,Collision
Oct,Dodge,Rural,Saturday,Sep,4,Female,Married,42,Policy Holder,Sport - All Perils,Utility,60000 to 69000,60292,1,500,2,none,none,more than 4,2 years,51 to 65,Yes,Yes,Internal,more than 5,4 to 8 years,1 vehicle,Collision
May,VW,Rural,Saturday,Sep,4,Male,Single,37,Third Party,Sedan - Collision,Utility,more than 69000,58626,3,400,3,15 to 30,8 to 15,more than 4,2 years,16 to 17,No,No,Internal,none,2 to 3 years,1 vehicle,Collision
Jan,Saturn,Rural,Wednesday,Feb,4,Male,Widow,58,Policy Holder,Sedan - Liability,Utility,30000 to 39000,28870,9,400,1,8 to 15,8 to 15,none,5 years,41 to 50,Yes,Yes,Internal,more than 5,2 to 3 years,more than 8,Liability
Aug,Ferrari,Urban,Wednesday,Apr,1,Male,Divorced,45,Policy Holder,Sedan - All Perils,Utility,30000 to 39000,57114,8,700,1,none,more than 30,none,4 years,51 to 65,Yes,Yes,External,1 to 2,1 year,3 to 4,Liability
Nov,Ferrari,Rural,0,Jul,3,Female,Single,25,Third Party,Sport - Collision,Sedan,30000 to 39000,29768,4,700,4,none,none,2 to 4,3 years,36 to 40,No,Yes,External,3 to 5,2 to 3 years,5 to 8,Liability
Aug,Accura,Rural,0,Mar,5,Male,Married,67,Third Party,Utility - Liability,Sport,20000 to 29000,53848,1,500,2,1 to 7,none,1,7 years,18 to 20,Yes,Yes,Internal,1 to 2,4 to 8 years,more than 8,Liability
Jun,Ford,Rural,Sunday,Apr,5,Male,Married,59,Policy Holder,Sport - Liability,Sedan,30000 to 39000,85755,3,700,3,more than 30,more than 30,1,7 years,18 to 20,Yes,Yes,External,3 to 5,2 to 3 years,3 to 4,All Perils
Mar,Dodge,Urban,Saturday,Feb,4,Female,Widow,36,Third Party,Sport - Collision,Sedan,40000 to 59000,99891,3,300,2,none,8 to 15,none,3 years,21 to 25,No,No,Internal,3 to 5,4 to 8 years,2 vehicles,Liability
Dec,BMW,Urban,Monday,Feb,2,Male,Widow,40,Third Party,Sport - Collision,Sport,less than 20000,14701,2,500,2,1 to 7,15 to 30,none,5 years,over 65,Yes,Yes,External,3 to 5,2 to 3 years,2 vehicles,All Perils
Dec,Chevrolet,Urban,Wednesday,Apr,1,Female,Divorced,26,Third Party,Sport - All Perils,Sport,40000 to 59000,27832,7,300,1,15 to 30,15 to 30,2 to 4,7 years,26 to 30,No,Yes,Internal,none,4 to 8 years,3 to 4,Collision
Mar,BMW,Urban,Tuesday,Mar,3,Female,Married,28,Third Party,Sport - All Perils,Sport,40000 to 59000,57971,9,400,4,1 to 7,more than 30,2 to 4,2 years,41 to 50,Yes,No,Internal,none,1 year,3 to 4,Liability
Feb,Mazda,Urban,Sunday,Dec,2,Male,Widow,21,Policy Holder,Sport - All Perils,Utility,60000 to 69000,36213,6,400,4,15 to 30,15 to 30,none,3 years,18 to 20,No,No,Internal,more than 5,4 to 8 years,5 to 8,All Perils
Apr,Saab,Urban,Friday,Dec,4,Female,Widow,28,Third Party,Sport - Liability,Utility,30000 to 39000,92462,9,400,2,15 to 30,more than 30,2 to 4,7 years,36 to 40,No,No,Internal,3 to 5,4 to 8 years,2 vehicles,Collision
Sep,Mazda,Rural,Friday,Oct,4,Female,Widow,16,Third Party,Utility - Collision,Sedan,less than 20000,74485,4,300,4,none,15 to 30,1,new,26 to 30,No,No,External,none,no change,more than 8,Liability
Oct,Mecedes,Rural,Friday,Feb,2,Male,Married,33,Third Party,Sedan - All Perils,Sport,more than 69000,59147,1,400,2,15 to 30,8 to 15,none,new,26 to 30,No,Yes,Internal,3 to 5,under 6 months,5 to 8,Collision
Dec,Chevrolet,Urban,Thursday,Mar,2,Female,Single,64,Policy Holder,Sport - Liability,Sport,30000 to 39000,27131,3,500,1,more than 30,15 to 30,more than 4,2 years,over 65,No,Yes,Internal,3 to 5,1 year,more than 8,Collision
Apr,Dodge,Rural,Friday,Jul,1,Female,Single,39,Third Party,Sport - All Perils,Sedan,40000 to 59000,89797,4,300,3,1 to 7,15 to 30,more than 4,more than 7,36 to 40,Yes,Yes,External,1 to 2,no change,3 to 4,Collision
May,Ford,Urban,0,Jul,4,Male,Divorced,75,Third Party,Sport - All Perils,Utility,more than 69000,63699,8,500,2,more than 30,more than 30,2 to 4,4 years,31 to 35,Yes,No,External,none,1 year,2 vehicles,All Perils
Jun,Mecedes,Urban,Wednesday,Aug,4,Female,Single,57,Policy Holder,Utility - Liability,Sedan,less than 20000,81538,9,300,1,none,8 to 15,2 to 4,7 years,26 to 30,Yes,Yes,Internal,1 to 2,under 6 months,2 vehicles,Collision
Feb,Saab,Rural,Monday,Jul,4,Male,Widow,55,Third Party,Sedan - Collision,Utility,less than 20000,68440,1,500,2,more than 30,none,1,2 years,21 to 25,Yes,Yes,Internal,none,2 to 3 years,5 to 8,All Perils
Sep,Chevrolet,Urban,Thursday,May,5,Male,Single,38,Policy Holder,Utility - Liability,Sedan,more than 69000,39750,7,700,1,15 to 30,8 to 15,none,6 years,over 65,Yes,Yes,Internal,1 to 2,1 year,2 vehicles,Liability
Feb,Nisson,Urban,Wednesday,Jan,3,Male,Divorced,35,Third Party,Utility - All Perils,Utility,60000 to 69000,82615,6,700,1,8 to 15,15 to 30,none,more than 7,18 to 20,Yes,No,External,1 to 2,2 to 3 years,2 vehicles,Liability
Mar,Mecedes,Rural,Thursday,Dec,4,Male,Divorced,41,Third Party,Utility - Liability,Utility,30000 to 39000,34429,8,400,2,8 to 15,none,1,2 years,26 to 30,No,No,External,3 to 5,1 year,1 vehicle,Collision
Aug,Pontiac,Urban,Thursday,Jun,3,Male,Single,20,Policy Holder,Utility - All Perils,Sedan,30000 to 39000,65309,8,300,4,more than 30,8 to 15,none,3 years,31 to 35,Yes,Yes,External,1 to 2,no change,2 vehicles,Liability
Apr,Saab,Urban,Tuesday,Oct,3,Male,Widow,66,Third Party,Utility - Liability,Sport,60000 to 69000,43888,3,400,1,8 to 15,15 to 30,1,6 years,31 to 35,Yes,Yes,Internal,none,no change,3 to 4,All Perils
Mar,Accura,Rural,0,Jan,1,Male,Widow,42,Policy Holder,Utility - Collision,Sport,40000 to 59000,26979,5,700,3,8 to 15,15 to 30,2 to 4,new,over 65,No,No,Internal,more than 5,4 to 8 years,3 to 4,Liability
Dec,Mercury,Rural,0,Dec,1,Male,Divorced,43,Third Party,Utility - All Perils,Utility,30000 to 39000,37288,5,400,4,more than 30,more than 30,more than 4,3 years,21 to 25,Yes,Yes,External,more than 5,4 to 8 years,1 vehicle,All Perils
Jul,Saturn,Rural,Saturday,Jun,1,Male,Married,76,Policy Holder,Utility - Collision,Sedan,less than 20000,66670,1,400,2,1 to 7,8 to 15,1,5 years,51 to 65,No,Yes,Internal,more than 5,4 to 8 years,3 to 4,Collision
Jul,BMW,Rural,Monday,Nov,2,Female,Widow,79,Third Party,Sedan - All Perils,Sedan,40000 to 59000,65799,2,300,2,15 to 30,none,2 to 4,4 years,over 65,No,Yes,External,none,4 to 8 years,5 to 8,All Perils
Jun,Dodge,Rural,Sunday,Apr,1,Female,Married,43,Policy Holder,Sport - Liability,Utility,40000 to 59000,83353,6,500,2,8 to 15,8 to 15,none,5 years,41 to 50,Yes,No,External,more than 5,1 year,3 to 4,Liability
Jan,Nisson,Urban,Friday,Apr,3,Male,Single,54,Policy Holder,Sedan - Liability,Sedan,more than 69000,70926,1,400,2,more than 30,none,more than 4,6 years,41 to 50,Yes,No,External,none,4 to 8 years,2 vehicles,Liability
Jun,Mazda,Rural,Tuesday,Mar,4,Female,Divorced,27,Third Party,Sport - Liability,Sport,less than 20000,99044,7,400,3,none,15 to 30,2 to 4,6 years,21 to 25,No,No,External,none,under 6 months,more than 8,All Perils
Dec,Porche,Rural,Sunday,Mar,5,Female,Widow,50,Policy Holder,Sport - All Perils,Utility,less than 20000,45047,6,700,4,1 to 7,more than 30,none,more than 7,36 to 40,Yes,Yes,Internal,1 to 2,1 year,2 vehicles,Liability
Apr,Nisson,Urban,Monday,Apr,1,Female,Divorced,27,Policy Holder,Utility - Collision,Sport,30000 to 39000,70044,1,400,2,1 to 7,more than 30,2 to 4,4 years,18 to 20,No,Yes,External,3 to 5,1 year,2 vehicles,Liability
Aug,Porche,Rural,Thursday,Mar,3,Male,Divorced,70,Third Party,Utility - Collision,Sedan,30000 to 39000,39401,2,500,1,1 to 7,none,none,more than 7,41 to 50,No,Yes,External,3 to 5,under 6 months,more than 8,Collision
Feb,Mercury,Urban,Monday,Jun,4,Female,Married,20,Third Party,Utility - Liability,Utility,60000 to 69000,38942,3,500,3,1 to 7,8 to 15,none,new,16 to 17,No,No,External,1 to 2,under 6 months,3 to 4,Liability
Aug,Mazda,Urban,Thursday,Jul,2,Female,Married,46,Policy Holder,Sport - Collision,Sedan,20000 to 29000,65552,3,700,3,more than 30,15 to 30,2 to 4,7 years,36 to 40,Yes,No,External,more than 5,1 year,more than 8,All Perils
Sep,Toyota,Urban,Friday,Sep,1,Male,Widow,47,Third Party,Sport - All Perils,Utility,60000 to 69000,49137,1,300,2,8 to 15,8 to 15,1,3 years,26 to 30,Yes,Yes,External,none,1 year,1 vehicle,Collision
Sep,Saturn,Urban,Sunday,Aug,1,Female,Single,32,Policy Holder,Sport - Collision,Sport,60000 to 69000,67533,1,700,2,none,more than 30,2 to 4,2 years,31 to 35,Yes,No,External,none,under 6 months,3 to 4,All Perils
Dec,Chevrolet,Urban,0,Jan,5,Female,Widow,49,Policy Holder,Utility - Liability,Sedan,60000 to 69000,30431,7,700,2,15 to 30,more than 30,more than 4,3 years,over 65,Yes,Yes,Internal,3 to 5,2 to 3 years,3 to 4,All Perils
Mar,Saturn,Rural,Saturday,Feb,3,Male,Married,33,Third Party,Utility - Liability,Sport,more than 69000,14977,5,700,2,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,Internal,3 to 5,4 to 8 years,2 vehicles,Collision
Nov,Ford,Rural,Tuesday,Mar,5,Female,Single,34,Policy Holder,Sedan - All Perils,Utility,40000 to 59000,66423,7,300,1,8 to 15,15 to 30,1,2 years,16 to 17,No,Yes,Internal,more than 5,no change,more than 8,Liability
Oct,Toyota,Rural,Friday,Dec,5,Male,Divorced,29,Policy Holder,Sedan - All Perils,Sport,20000 to 29000,52914,4,300,1,15 to 30,more than 30,1,5 years,31 to 35,Yes,No,Internal,none,2 to 3 years,5 to 8,Liability
Nov,Mecedes,Rural,Friday,Dec,5,Male,Single,23,Policy Holder,Utility - Liability,Utility,30000 to 39000,97255,7,700,1,none,more than 30,1,6 years,41 to 50,Yes,No,External,more than 5,under 6 months,5 to 8,Liability
